"egyptianculture","sub","wikidata"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Nile_boat","http://www.wikidata.org/entity/Q7067835"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Black_Egyptian_hypothesis","http://www.wikidata.org/entity/Q4920720"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Thinite_Confederacy","http://www.wikidata.org/entity/Q7784429"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Wḫdw","http://www.wikidata.org/entity/Q22936426"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Urban_planning_in_ancient_Egypt","http://www.wikidata.org/entity/Q3552228"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Assyrian_conquest_of_Egypt",
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Netert_Mudat_Egyptian_Scarab_Map",
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Periodization_of_Ancient_Egypt",
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Index_of_ancient_Egypt–related_articles",
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/White_kilt_class",
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Periodization_of_ancient_Egypt",
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Category:Ancient_Near_East",
"http://dbpedia.org/resource/Category:Ancient_Egypt_in_popular_culture","http://dbpedia.org/resource/The_Mummy!","http://www.wikidata.org/entity/Q7752629"
"http://dbpedia.org/resource/Category:Ancient_Egypt_in_popular_culture","http://dbpedia.org/resource/Ancient_Egyptian_deities_in_popular_culture","http://www.wikidata.org/entity/Q4752830"
"http://dbpedia.org/resource/Category:Ancient_Egypt_in_popular_culture","http://dbpedia.org/resource/The_Scroll_of_the_Dead","http://www.wikidata.org/entity/Q22936344"
"http://dbpedia.org/resource/Category:Ancient_Egypt_in_popular_culture","http://dbpedia.org/resource/Stargate_SG-1","http://www.wikidata.org/entity/Q187462"
"http://dbpedia.org/resource/Category:Ancient_Egypt_in_popular_culture","http://dbpedia.org/resource/The_Egypt_Game","http://www.wikidata.org/entity/Q17004916"
"http://dbpedia.org/resource/Category:Ancient_Egypt_in_popular_culture","http://dbpedia.org/resource/Egyptian_influence_in_popular_culture",
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Scribe","http://www.wikidata.org/entity/Q916292"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Hyphaene_thebaica","http://www.wikidata.org/entity/Q2278032"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Dwarfs_and_pygmies_in_ancient_Egypt","http://www.wikidata.org/entity/Q1684335"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Dance_in_ancient_Egypt","http://www.wikidata.org/entity/Q5215223"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ancient_Egyptian_conception_of_the_soul","http://www.wikidata.org/entity/Q853611"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ancient_Egyptian_cuisine","http://www.wikidata.org/entity/Q432535"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ancient_Egyptian_medicine","http://www.wikidata.org/entity/Q787057"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ancient_Egyptian_pottery","http://www.wikidata.org/entity/Q1583849"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ancient_Egyptian_trade","http://www.wikidata.org/entity/Q4752834"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Heart_scarab","http://www.wikidata.org/entity/Q5692481"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Nubian_wig","http://www.wikidata.org/entity/Q7067851"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Sidelock_of_youth","http://www.wikidata.org/entity/Q3332058"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Hemhem_crown","http://www.wikidata.org/entity/Q1528093"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Cats_in_ancient_Egypt","http://www.wikidata.org/entity/Q129076"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Senet","http://www.wikidata.org/entity/Q582169"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/History_of_timekeeping_devices_in_Egypt","http://www.wikidata.org/entity/Q9031060"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Mehen_(game)","http://www.wikidata.org/entity/Q1099570"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Shedeh","http://www.wikidata.org/entity/Q3824923"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Abuwtiyuw","http://www.wikidata.org/entity/Q42235"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Merkhet","http://www.wikidata.org/entity/Q1648270"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Beni_Hasan_funerary_boat","http://www.wikidata.org/entity/Q67889726"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Hounds_and_Jackals","http://www.wikidata.org/entity/Q1637382"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Sekhem_scepter","http://www.wikidata.org/entity/Q7447170"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Animal_mummy","http://www.wikidata.org/entity/Q2242136"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Hunting,_fishing_and_animals_in_ancient_Egypt","http://www.wikidata.org/entity/Q22930228"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Hymn_to_the_Nile","http://www.wikidata.org/entity/Q19056138"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Zythum","http://www.wikidata.org/entity/Q3576428"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Clothing_in_ancient_Egypt","http://www.wikidata.org/entity/Q263516"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Urban_planning_in_ancient_Egypt","http://www.wikidata.org/entity/Q3552228"
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Senet_(board_game)",
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Head_cone",
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Bee_(heraldry)",
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ancient_Egyptian_Retainer_Sacrifices",
"http://dbpedia.org/resource/Category:Ancient_Egyptian_culture","http://dbpedia.org/resource/Ramesseum_magician's_box",
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Cursive_hieroglyphs","http://www.wikidata.org/entity/Q3138753"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Aaru","http://www.wikidata.org/entity/Q618140"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Ammit","http://www.wikidata.org/entity/Q131483"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/List_of_Book_of_the_Dead_spells","http://www.wikidata.org/entity/Q6564382"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Ancient_Egyptian_conception_of_the_soul","http://www.wikidata.org/entity/Q853611"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Joseph_Smith_Papyri","http://www.wikidata.org/entity/Q6287070"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Maa_Kheru","http://www.wikidata.org/entity/Q6721269"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Medjed","http://www.wikidata.org/entity/Q25203206"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Book_of_the_Dead_of_Amen-em-hat","http://www.wikidata.org/entity/Q16209283"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Book_of_the_Dead_of_Nehem-es-Rataui","http://www.wikidata.org/entity/Q14541222"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Book_of_the_Dead_of_Qenna","http://www.wikidata.org/entity/Q17150610"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Assessors_of_Maat","http://www.wikidata.org/entity/Q9133532"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Papyrus_of_Ani","http://www.wikidata.org/entity/Q2018575"
